25-12-08 13:51:35.547 | 33440:28632 | INFO | Initialized rvm.log
25-12-08 13:51:35.547 | 33440:28632 | INFO | LOG_MANAGER | Testing RVM log.
25-12-08 13:51:35.547 | 33440:28632 | INFO | LOG_MANAGER | -----------------------New RVM Instance-----------------------
25-12-08 13:51:35.547 | 33440:28632 | INFO | GENERAL | Starting OpenFin RVM - Version 18.0.0.81 - Architecture x86 - Os win 10.0.26200
25-12-08 13:51:35.549 | 33440:28632 | INFO | GENERAL | [RVM Directory] - C:\Users\odolb\AppData\Local\OpenFin
25-12-08 13:51:35.549 | 33440:28632 | INFO | GENERAL | Command line arguments : --no-ui --config=http://localhost:8000/openfin/app.json --runtime-arguments=--runtime-information-channel-v6=NodeAdapter.e9f66a38f30cc36732aed13cd119791e
25-12-08 13:51:35.549 | 33440:28632 | INFO | GENERAL | RVM sessionId: 9fb35433-b425-474d-839d-379b2fd4f834
25-12-08 13:51:35.549 | 33440:28632 | INFO | GENERAL | Machine ID: 896fbf0c-849d-4c12-a96e-a18fbe474f00
25-12-08 13:51:35.549 | 33440:28632 | INFO | GENERAL | Integrity Level: 2
25-12-08 13:51:35.549 | 33440:28632 | INFO | GENERAL | <- Primary RVM
25-12-08 13:51:35.551 | 33440:28632 | INFO | VERBOSE | Global Configuration Inserting:	unusedRuntimeExpirationInMinutes : 0
25-12-08 13:51:35.551 | 33440:28632 | INFO | VERBOSE | Global Configuration Inserting:	maxAppLogFiles : 0
25-12-08 13:51:35.551 | 33440:28632 | INFO | VERBOSE | Global Configuration Inserting:	maxAppLogFileSizeMB : 0
25-12-08 13:51:35.551 | 33440:28632 | INFO | GENERAL | Initializing RVM configuration settings from Registry
25-12-08 13:51:35.551 | 33440:28632 | INFO | GENERAL | Checking for RVM config registry settings for local machine
25-12-08 13:51:35.551 | 33440:28632 | INFO | VERBOSE | _______________________________________________________________
25-12-08 13:51:35.551 | 33440:28632 | INFO | VERBOSE | Successfully parsed the following RVM settings keys/values
25-12-08 13:51:35.551 | 33440:28632 | INFO | VERBOSE | Reading from Software\OpenFin\RVM:
25-12-08 13:51:35.553 | 33440:28632 | INFO | VERBOSE | Reading from Software\OpenFin\RVM\Settings:
25-12-08 13:51:35.557 | 33440:28632 | INFO | VERBOSE | Reading from Software\OpenFin\RVM\Settings\Network:
25-12-08 13:51:35.557 | 33440:28632 | INFO | VERBOSE | Reading from Software\OpenFin\RVM\Settings\Deployment:
25-12-08 13:51:35.557 | 33440:28632 | INFO | VERBOSE | Reading from Software\OpenFin\RVM\Settings\ApplicationLogging:
25-12-08 13:51:35.557 | 33440:28632 | INFO | VERBOSE | Reading from Software\OpenFin\RVM\AppSettings:
25-12-08 13:51:35.559 | 33440:28632 | INFO | VERBOSE | _______________________________________________________________
25-12-08 13:51:35.559 | 33440:28632 | INFO | GENERAL | Checking for RVM config registry settings for current user
25-12-08 13:51:35.559 | 33440:28632 | INFO | VERBOSE | _______________________________________________________________
25-12-08 13:51:35.559 | 33440:28632 | INFO | VERBOSE | Successfully parsed the following RVM settings keys/values
25-12-08 13:51:35.559 | 33440:28632 | INFO | VERBOSE | Reading from Software\OpenFin\RVM:
25-12-08 13:51:35.559 | 33440:28632 | INFO | VERBOSE | Reading from Software\OpenFin\RVM\Settings:
25-12-08 13:51:35.562 | 33440:28632 | INFO | VERBOSE | Reading from Software\OpenFin\RVM\Settings\Network:
25-12-08 13:51:35.564 | 33440:28632 | INFO | VERBOSE | Reading from Software\OpenFin\RVM\Settings\Deployment:
25-12-08 13:51:35.564 | 33440:28632 | INFO | VERBOSE | Reading from Software\OpenFin\RVM\Settings\ApplicationLogging:
25-12-08 13:51:35.564 | 33440:28632 | INFO | VERBOSE | Reading from Software\OpenFin\RVM\AppSettings:
25-12-08 13:51:35.564 | 33440:28632 | INFO | VERBOSE | _______________________________________________________________
25-12-08 13:51:35.566 | 33440:28632 | INFO | GENERAL | Checking for RVM config registry settings for local machine
25-12-08 13:51:35.566 | 33440:28632 | INFO | VERBOSE | _______________________________________________________________
25-12-08 13:51:35.566 | 33440:28632 | INFO | VERBOSE | Successfully parsed the following RVM settings keys/values
25-12-08 13:51:35.566 | 33440:28632 | INFO | VERBOSE | Reading from Software\Microsoft\Windows\CurrentVersion\Policies\OpenFin\RVM:
25-12-08 13:51:35.566 | 33440:28632 | INFO | VERBOSE | Reading from Software\Microsoft\Windows\CurrentVersion\Policies\OpenFin\RVM\Settings:
25-12-08 13:51:35.568 | 33440:28632 | INFO | VERBOSE | Reading from Software\Microsoft\Windows\CurrentVersion\Policies\OpenFin\RVM\Settings\Network:
25-12-08 13:51:35.570 | 33440:28632 | INFO | VERBOSE | Reading from Software\Microsoft\Windows\CurrentVersion\Policies\OpenFin\RVM\Settings\Deployment:
25-12-08 13:51:35.570 | 33440:28632 | INFO | VERBOSE | Reading from Software\Microsoft\Windows\CurrentVersion\Policies\OpenFin\RVM\Settings\ApplicationLogging:
25-12-08 13:51:35.570 | 33440:28632 | INFO | VERBOSE | Reading from Software\Microsoft\Windows\CurrentVersion\Policies\OpenFin\RVM\AppSettings:
25-12-08 13:51:35.570 | 33440:28632 | INFO | VERBOSE | _______________________________________________________________
25-12-08 13:51:35.570 | 33440:28632 | INFO | GENERAL | Checking for RVM config registry settings for current user
25-12-08 13:51:35.572 | 33440:28632 | INFO | VERBOSE | _______________________________________________________________
25-12-08 13:51:35.572 | 33440:28632 | INFO | VERBOSE | Successfully parsed the following RVM settings keys/values
